title,rating,genre,director,star,score
The Shining,R,Drama,Stanley Kubrick,Jack Nicholson,8.4
The Blue Lagoon,R,Adventure,Randal Kleiser,Brooke Shields,5.8
Star Wars: Episode V - The Empire Strikes Back,PG,Action,Irvin Kershner,Mark Hamill,8.7
Airplane!,PG,Comedy,Jim Abrahams,Robert Hays,7.7
Caddyshack,R,Comedy,Harold Ramis,Chevy Chase,7.3
Friday the 13th,R,Horror,Sean S. Cunningham,Betsy Palmer,6.4
Friday the 13th,R,Horror,Marcus Nispel,Jared Padalecki,5.5
The Blues Brothers,R,Action,John Landis,John Belushi,7.9
Raging Bull,R,Biography,Martin Scorsese,Robert De Niro,8.2
Superman II,PG,Action,Richard Lester,Gene Hackman,6.8
The Long Riders,R,Biography,Walter Hill,David Carradine,7.0
Any Which Way You Can,PG,Action,Buddy Van Horn,Clint Eastwood,6.1
The Gods Must Be Crazy,PG,Adventure,Jamie Uys,N!xau,7.3
Popeye,PG,Adventure,Robert Altman,Robin Williams,5.3
Ordinary People,R,Drama,Robert Redford,Donald Sutherland,7.7
Dressed to Kill,R,Crime,Brian De Palma,Michael Caine,7.1
Somewhere in Time,PG,Drama,Jeannot Szwarc,Christopher Reeve,7.2
Fame,R,Drama,Alan Parker,Eddie Barth,6.6
Fame,PG,Comedy,Kevin Tancharoen,Kelsey Grammer,5.1
9 to 5,PG,Comedy,Colin Higgins,Jane Fonda,6.9
The Fog,R,Horror,John Carpenter,Adrienne Barbeau,6.8
The Fog,PG-13,Horror,Rupert Wainwright,Tom Welling,3.7
Stir Crazy,R,Comedy,Sidney Poitier,Gene Wilder,6.8
Cruising,R,Crime,William Friedkin,Al Pacino,6.5
Heaven's Gate,R,Adventure,Michael Cimino,Kris Kristofferson,6.8
The Final Countdown,PG,Action,Don Taylor,Kirk Douglas,6.7
Xanadu,PG,Fantasy,Robert Greenwald,Olivia Newton-John,5.3
Urban Cowboy,PG,Drama,James Bridges,John Travolta,6.4
Altered States,R,Horror,Ken Russell,William Hurt,6.9
Little Darlings,R,Comedy,Ron Maxwell,Tatum O'Neal,6.5
